query_id,gold_domain,pred_claude
train_0001,Other,Public & administrative
train_0002,Civil & commercial,Civil & commercial
train_0004,Civil & commercial,Civil & commercial
train_0005,Procedure & enforcement,Public & administrative
train_0006,Criminal,Criminal
train_0007,Civil & commercial,Civil & commercial
train_0008,"Tax, social & financial","Tax, social & financial"
train_0009,Civil & commercial,Civil & commercial
train_0010,Criminal,Criminal
train_0011,Criminal,Criminal
train_0012,Other,Criminal
train_0013,Public & administrative,Civil & commercial
train_0015,Public & administrative,Other
train_0016,Other,Other
train_0017,"Tax, social & financial","Tax, social & financial"
train_0018,Procedure & enforcement,Other
train_0019,Civil & commercial,Civil & commercial
train_0020,Other,Other
train_0021,"Tax, social & financial","Tax, social & financial"
train_0023,Criminal,Criminal
train_0025,"Tax, social & financial","Tax, social & financial"
train_0026,Public & administrative,Civil & commercial
train_0027,Other,Other
train_0029,Civil & commercial,Civil & commercial
train_0031,Civil & commercial,Civil & commercial
train_0032,Civil & commercial,Civil & commercial
train_0033,Other,Other
train_0034,Procedure & enforcement,Procedure & enforcement
train_0035,Civil & commercial,Civil & commercial
train_0036,Procedure & enforcement,Civil & commercial
train_0037,Civil & commercial,Civil & commercial
train_0038,Civil & commercial,Civil & commercial
train_0039,Civil & commercial,Civil & commercial
train_0040,Public & administrative,Public & administrative
train_0041,"Tax, social & financial",Civil & commercial
train_0042,Criminal,Criminal
train_0043,Other,"Tax, social & financial"
train_0044,"Tax, social & financial","Tax, social & financial"
train_0045,Civil & commercial,Civil & commercial
train_0046,"Tax, social & financial","Tax, social & financial"
train_0047,Civil & commercial,Civil & commercial
train_0048,Civil & commercial,Civil & commercial
train_0049,Other,Other
train_0050,Public & administrative,Public & administrative
train_0051,Public & administrative,Public & administrative
train_0052,Procedure & enforcement,Civil & commercial
train_0053,Public & administrative,Public & administrative
train_0054,Other,"Tax, social & financial"
train_0055,Civil & commercial,Civil & commercial
train_0056,Civil & commercial,Civil & commercial
train_0057,Other,Criminal
train_0058,Criminal,Criminal
train_0059,"Tax, social & financial","Tax, social & financial"
train_0060,Civil & commercial,Civil & commercial
train_0061,Other,Public & administrative
train_0062,"Tax, social & financial","Tax, social & financial"
train_0063,Other,Other
train_0064,Public & administrative,Public & administrative
train_0065,Public & administrative,Public & administrative
train_0066,Civil & commercial,Civil & commercial
train_0068,Civil & commercial,Civil & commercial
train_0069,Criminal,Criminal
train_0070,Civil & commercial,Civil & commercial
train_0071,Other,Other
train_0072,"Tax, social & financial","Tax, social & financial"
train_0073,Public & administrative,Other
train_0074,Civil & commercial,Civil & commercial
train_0075,Civil & commercial,Civil & commercial
train_0077,Civil & commercial,Civil & commercial
train_0078,Public & administrative,Other
train_0079,Public & administrative,Public & administrative
train_0080,Civil & commercial,Civil & commercial
train_0081,Procedure & enforcement,Public & administrative
train_0082,Procedure & enforcement,Public & administrative
train_0083,Public & administrative,Public & administrative
train_0084,Other,Public & administrative
train_0087,Other,Public & administrative
train_0088,"Tax, social & financial","Tax, social & financial"
train_0089,Other,Other
train_0090,Civil & commercial,Civil & commercial
train_0091,Public & administrative,Public & administrative
train_0092,Civil & commercial,Civil & commercial
train_0093,Civil & commercial,Civil & commercial
train_0094,Public & administrative,Public & administrative
train_0095,Other,"Tax, social & financial"
