query_id,domain,codes
train_0001,Public & administrative,USG;RPG
train_0002,Civil & commercial,ZGB;GBV
train_0004,Civil & commercial,OR;IPRG
train_0005,Public & administrative,RPG;NHG;VwVG
train_0006,Criminal,StGB
train_0007,Civil & commercial,ZGB
train_0008,"Tax, social & financial",DBG
train_0009,Civil & commercial,OR
train_0010,Criminal,StGB;StPO
train_0011,Criminal,StGB;StPO
train_0012,Criminal,FINMAG;StGB;VStrR
train_0013,Civil & commercial,OR;DSG;ZGB
train_0015,Other,AsylG
train_0017,"Tax, social & financial",FIDLEG
train_0018,Other,SebG
train_0019,Civil & commercial,ZGB;OR
train_0020,Other,AsylG
train_0021,"Tax, social & financial",FINMAG
train_0023,Criminal,JStG;StGB
train_0026,Civil & commercial,ZGB;URG
train_0027,Other,EleG
train_0029,Civil & commercial,IPRG;OR;ZPO
train_0031,Civil & commercial,ZGB
train_0032,Civil & commercial,OR;ZGB;ZPO
train_0033,Other,URG;KG
train_0034,Procedure & enforcement,SchKG
train_0035,Civil & commercial,OR
train_0036,Civil & commercial,OR;ZPO;SchKG
train_0037,Civil & commercial,ZPO
train_0038,Civil & commercial,OR;ZGB
train_0039,Civil & commercial,ZGB;ZPO
train_0040,Public & administrative,SVG
train_0041,"Tax, social & financial",ATSG;AHVG;IVG;OR
train_0042,Criminal,JStG;StGB
train_0043,"Tax, social & financial",DBG;StHG;VStG
train_0044,Civil & commercial,FIDLEG;OR
train_0045,Civil & commercial,OR;DSG;ZPO
train_0046,"Tax, social & financial",DBG;StHG
train_0047,Civil & commercial,OR;ZGB
train_0048,Civil & commercial,OR;ZPO
train_0049,Other,FinfraG
train_0050,Public & administrative,BV
train_0051,Civil & commercial,OR;StGB;BV
train_0052,Civil & commercial,ZGB;OR;SchKG
train_0053,Public & administrative,URG
train_0054,Other,DBG;VStG
train_0055,Civil & commercial,OR
train_0056,Civil & commercial,ZGB;GBV
train_0057,Criminal,StGB;StPO;JStG
train_0058,Criminal,StPO
train_0059,"Tax, social & financial",DBG;StHG
train_0060,Civil & commercial,IPRG;ZGB;ZPO
train_0061,Public & administrative,VwVG;BV
train_0062,"Tax, social & financial",DBG;StHG
train_0063,Other,BankG;FINMAG
train_0064,Public & administrative,BV;VwVG
train_0065,Public & administrative,BV
train_0066,Civil & commercial,ZGB;GBV
train_0068,Civil & commercial,ZGB
train_0070,Civil & commercial,ZGB;OR
train_0071,Other,PSyG
train_0072,"Tax, social & financial",UVG;IVG
train_0073,Other,BV;BüG
train_0074,Civil & commercial,IPRG
train_0075,Civil & commercial,OR;ZPO
train_0077,Civil & commercial,OR;ZGB
train_0078,Other,ETHG
train_0079,Public & administrative,RPG;BV
train_0080,Civil & commercial,OR;ZPO
train_0081,Public & administrative,RPG;VwVG
train_0082,Public & administrative,RPG;VwVG;ZGB
train_0083,Public & administrative,RPG;ZGB
train_0084,Public & administrative,BV;USG
train_0087,Public & administrative,USG;RPG;SVG
train_0088,"Tax, social & financial",DBG;StHG
train_0089,Other,IRSG
train_0091,Public & administrative,NHG;EleG
train_0092,Civil & commercial,IPRG
train_0093,Civil & commercial,ZGB;OR
train_0094,Public & administrative,RPG
train_0095,"Tax, social & financial",DBG;StHG
train_0096,Civil & commercial,ZGB;OR
train_0099,"Tax, social & financial",FIDLEG;FinfraG
train_0100,Other,VVG;SchKG
train_0101,Civil & commercial,OR;ZPO;IPRG
train_0103,Civil & commercial,IPRG;LugUe
train_0104,Other,ETH-Gesetz
train_0105,Civil & commercial,OR
train_0106,Civil & commercial,OR
train_0107,Other,BankG
train_0108,"Tax, social & financial",DBG;StHG
train_0109,Other,FINMAG;BankG
train_0110,Public & administrative,BV
train_0111,Public & administrative,BV
train_0112,Public & administrative,BV;BGG;VwVG
train_0113,Civil & commercial,ZGB;OR;DSG
train_0114,"Tax, social & financial",AHVG
train_0115,Civil & commercial,OR
train_0116,Criminal,StGB;StPO
train_0117,Other,
train_0119,Other,BankG
train_0120,Other,UWG
train_0121,Public & administrative,BV
train_0122,Other,MVG
train_0124,Public & administrative,OR;DSG;BV
train_0125,Other,BetmG
train_0126,Civil & commercial,OR
train_0127,Public & administrative,NHG;USG;RPG
train_0128,Public & administrative,BV;VwVG
train_0129,Public & administrative,DSG
train_0130,Criminal,StGB
train_0131,"Tax, social & financial",BVG;DBG
train_0132,"Tax, social & financial",FIDLEG;FINMAG;OR
train_0133,Public & administrative,SVG
train_0134,Civil & commercial,IPRG;LugUe
train_0135,Public & administrative,USG;RPG;SVG
train_0136,Public & administrative,NHG;RPG;BV
train_0137,Civil & commercial,OR
train_0138,Public & administrative,NHG;RPG;USG
train_0139,Civil & commercial,ZGB;IPRG
train_0140,Criminal,StGB;StPO;JStG
train_0141,Other,
train_0142,Public & administrative,RPG;VwVG
train_0143,Public & administrative,AIG
train_0144,Criminal,StGB;StPO
train_0147,"Tax, social & financial",FINMAG
train_0148,Other,AsylG
train_0151,Other,SebG
train_0152,Civil & commercial,ZGB;RPG
train_0153,Public & administrative,NHG;VwVG
train_0154,Civil & commercial,IPRG
train_0155,Civil & commercial,ZGB;ZPO
train_0156,Other,FamZG
train_0158,Public & administrative,RPG
train_0159,Public & administrative,BV
train_0160,Civil & commercial,ZGB;ZPO
train_0161,Civil & commercial,OR;ZGB
train_0163,Other,ArG
train_0164,Other,VStG
train_0165,Civil & commercial,ZPO;IPRG
train_0166,Public & administrative,USG
train_0167,Criminal,StGB;JStG
train_0169,Civil & commercial,OR;ZGB;ZPO
train_0170,Civil & commercial,ZGB;ZPO
train_0171,Other,BankG;FINMAG
train_0173,Civil & commercial,ZGB;OR
train_0174,Civil & commercial,OR;DSG
train_0175,Other,AsylG;BV
train_0176,"Tax, social & financial",DBG;StHG
train_0178,Criminal,StGB;FINMAG
train_0179,Public & administrative,VwVG;BV
train_0180,Procedure & enforcement,ZPO
train_0181,Other,StromVG
train_0182,Public & administrative,RPG
train_0183,Other,KGTG
train_0185,"Tax, social & financial",DBG;StHG;OR
train_0187,Public & administrative,RPG;PBG
train_0189,Civil & commercial,IPRG
train_0190,Criminal,StGB;JStG;StPO
train_0191,Civil & commercial,OR;ZGB
train_0192,Other,UWG
train_0193,Civil & commercial,IPRG;ZPO;ZGB;LugUe;MSchG
train_0194,Civil & commercial,ZGB;OR
train_0195,"Tax, social & financial",DBG;StHG
train_0196,"Tax, social & financial",UVG;ATSG
train_0197,Criminal,StGB
train_0198,Public & administrative,BV;VwVG;BGG
train_0199,"Tax, social & financial",ATSG
train_0200,Other,KGTG
train_0201,Public & administrative,VwVG;DSG;FINMAG
train_0202,Civil & commercial,ZGB;OR
train_0203,"Tax, social & financial",FINMAG
train_0205,Civil & commercial,OR
train_0206,Public & administrative,RPG;NHG;BGBB
train_0208,Other,GwG;StGB
train_0210,Other,AsylG;BV
train_0211,Criminal,StGB;StPO;JStG
train_0212,Criminal,StGB
train_0213,Criminal,StGB
train_0214,"Tax, social & financial",ATSG;IVG;UVG
train_0215,Civil & commercial,ZPO;OR;ZGB
train_0216,Civil & commercial,OR;ZGB;ZPO
train_0218,"Tax, social & financial",UVG
train_0219,Civil & commercial,IPRG;ZGB
train_0220,Criminal,AIG;StGB;StPO
train_0221,Other,FamZG
train_0222,Other,BankG
train_0223,Civil & commercial,IPRG
train_0225,Public & administrative,RPG;BV
train_0226,Criminal,StGB;JStG;StPO
train_0227,Civil & commercial,OR;ZPO
train_0229,Civil & commercial,IPRG;ZGB;ZPO
train_0230,Civil & commercial,OR;ZPO
train_0231,Civil & commercial,ZGB;GBV
train_0232,Civil & commercial,OR;IPRG;ZPO
train_0233,Criminal,StGB;StPO
train_0234,Civil & commercial,ZGB;GBV
train_0235,Civil & commercial,OR;ZGB
train_0236,Civil & commercial,OR;DBG
train_0237,Civil & commercial,ZGB;OR
train_0238,Civil & commercial,OR;ZGB;ZPO
train_0239,Other,AsylG
train_0240,"Tax, social & financial",DBG;StHG
train_0241,Civil & commercial,BankG;OR
train_0242,Criminal,StGB
train_0244,Public & administrative,BV;BüG
train_0245,Other,
train_0246,Civil & commercial,ZPO
train_0247,Civil & commercial,ZGB;ZPO;IPRG
train_0248,"Tax, social & financial",FINMAG;FIDLEG
train_0249,Civil & commercial,OR;ZGB
train_0250,Public & administrative,RPG;BV;PBG
train_0251,Criminal,StGB
train_0252,Civil & commercial,OR
train_0253,Civil & commercial,ZGB;OR
train_0254,Other,BetmG
train_0255,Criminal,StGB
train_0256,Civil & commercial,OR;IPRG;ZPO
train_0257,Civil & commercial,ZGB;OR
train_0259,Civil & commercial,OR
train_0260,Civil & commercial,ZGB;OR;ZPO;SchKG
train_0261,Criminal,StGB;JStG
train_0262,Public & administrative,FINMAG;VwVG
train_0263,Criminal,StGB;StPO
train_0266,Civil & commercial,OR;ZGB;ZPO
train_0267,Criminal,StGB
train_0268,Criminal,StGB;StPO
